Splits	Weights	BYRD_R_Dem	INOUYE_D_Dem	THURMOND_J_Rep	PRYOR_D_Dem	KENNEDY_E_Dem	PELL_C_Dem	ROTH_W_Rep	HATFIELD_M_Rep	HOLLINGS_E_Dem	STEVENS_T_Rep	SARBANES_P_Dem	BREAUX_J_Dem	COCHRAN_W_Rep	COHEN_W_Rep	LOTT_C_Rep	BIDEN_J_Dem	DOMENICI_P_Rep	HELMS_J_Rep	JOHNSTON_J_Dem	NUNN_S_Dem	BAUCUS_M_Dem	DODD_C_Dem	GRASSLEY_C_Rep	HARKIN_T_Dem	JEFFORDS_J_Rep	PRESSLER_L_Rep	SIMON_P_Dem	BUMPERS_D_Dem	FORD_W_Dem	GLENN_J_Dem	LEAHY_P_Dem	AKAKA_D_Dem	MIKULSKI_B_Dem	CHAFEE_J_Rep	LUGAR_R_Rep	MOYNIHAN_D_Dem	DASCHLE_T_Dem	GRAMM_W_Rep	SNOWE_O_Rep	BRADLEY_W_Dem	EXON_J_Dem	HEFLIN_H_Dem	KASSEBAUM_N_Rep	LEVIN_C_Dem	SIMPSON_A_Rep	WARNER_J_Rep	BROWN_G_Rep	COATS_D_Rep	CRAIG_L_Rep	DORGAN_B_Dem	GREGG_J_Rep	DAMATO_A_Rep	GORTON_T_Rep	MURKOWSKI_F_Rep	NICKLES_D_Rep	SPECTER_A_Rep	BINGAMAN_J_Dem	LAUTENBERG_F_Dem	KERRY_J_Dem	McCONNELL_A_Rep	ROCKEFELLER_J_Dem	BOXER_B_Dem	DeWINE_M_Rep	MACK_C_Rep	McCAIN_J_Rep	REID_H_Dem	SMITH_R_Rep	INHOFE_J_Rep	KYL_J_Rep	BOND_C_Rep	CONRAD_K_Dem	GRAHAM_D_Dem	THOMAS_C_Rep	BRYAN_R_Dem	BURNS_C_Rep	KERREY_J_Dem	KOHL_H_Dem	LIEBERMAN_J_Dem	ROBB_C_Dem	SANTORUM_R_Rep	GRAMS_R_Rep	WELLSTONE_P_Dem	FEINSTEIN_D_Dem	COVERDELL_P_Rep	KEMPTHORNE_D_Rep	MOSELEY_BRAUN_C_Dem	FAIRCLOTH_D_Rep	HUTCHISON_K_Rep	BENNETT_R_Rep	MURRAY_P_Dem	FEINGOLD_R_Dem	ABRAHAM_S_Rep	ASHCROFT_J_Rep	FRIST_W_Rep	THOMPSON_F_Rep	SHELBY_R_Rep	CLINTON_W_Dem
115	8.37326	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
116	2.087719	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
117	.00324	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
118	41.759548	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
119	.197126	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1
120	1.692011	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1
121	.004432	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1
122	.003139	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1
123	.004232	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
124	.00718	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
125	.007796	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
126	.113295	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
127	.00815	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
128	.004012	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
129	2.559389	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
130	.002954	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
131	46.366585	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
132	2.224712	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
133	1.333528	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1
134	.004979	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1
135	.003428	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1
136	.003711	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
137	.006368	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
138	.006959	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
139	.104146	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
140	.008243	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
141	.003582	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
142	4.220031	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
143	.769314	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
144	32.776123	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
145	2.356354	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1
146	.007695	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1
147	.007222	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1
148	1.649475	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	1
149	2.846007	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	0	1	0	0	1
150	.763341	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1
151	.005023	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1
152	.006879	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
153	.009142	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
154	2.658658	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
155	.103361	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
156	.009187	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
157	.003953	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
158	5.339812	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
159	1.047137	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1
160	40.597614	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
161	1.459878	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
162	.00256	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1
163	.004129	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1
164	21.680704	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
165	5.803992	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
166	1.130712	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
167	2.087395	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1
168	.006342	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1
169	.009136	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1
170	.008649	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1
171	.003245	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1
172	.012605	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	1
173	6.291453	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	1
174	.011815	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	1
175	.014283	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	1
176	.004526	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	1
177	.011701	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	1
