Splits	Weights	COCHRAN_W_Rep	BAUCUS_M_Dem	GRASSLEY_C_Rep	HARKIN_T_Dem	LEAHY_P_Dem	AKAKA_D_Dem	MIKULSKI_B_Dem	HATCH_O_Rep	LUGAR_R_Rep	NELSON_C_Dem	SNOWE_O_Rep	LEVIN_C_Dem	COATS_D_Rep	ROBERTS_C_Rep	SCHUMER_C_Dem	WYDEN_R_Dem	BINGAMAN_J_Dem	LAUTENBERG_F_Dem	KERRY_J_Dem	McCONNELL_A_Rep	ROCKEFELLER_J_Dem	BOXER_B_Dem	CARPER_T_Dem	DURBIN_R_Dem	McCAIN_J_Rep	REID_H_Dem	CARDIN_B_Dem	INHOFE_J_Rep	JOHNSON_T_Dem	KYL_J_Rep	CONRAD_K_Dem	KOHL_H_Dem	LIEBERMAN_J_Dem	BOOZMAN_J_Rep	KIRK_M_Rep	GILLIBRAND_K_Dem	REED_J_Dem	SANDERS_B_Ind	CRAPO_M_Rep	MENENDEZ_R_Dem	PORTMAN_R_Rep	BROWN_S_Dem	CHAMBLISS_S_Rep	WICKER_R_Rep	BURR_R_Rep	COBURN_T_Rep	GRAHAM_L_Rep	MORAN_J_Rep	STABENOW_D_Dem	BLUNT_R_Rep	THUNE_J_Rep	UDALL_M_Dem	ISAKSON_J_Rep	VITTER_D_Rep	UDALL_T_Dem	TOOMEY_P_Rep	DeMINT_J_Rep	CANTWELL_M_Dem	NELSON_E_Dem	MURKOWSKI_L_Rep	PRYOR_M_Dem	ALEXANDER_L_Rep	CORNYN_J_Rep	KLOBUCHAR_A_Dem	McCASKILL_C_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	CORKER_R_Rep	WEBB_J_Dem	BARRASSO_J_Rep	BEGICH_M_Dem	RISCH_J_Rep	FRANKEN_A_Dem	JOHANNS_M_Rep	SHAHEEN_J_Dem	HAGAN_K_Dem	MERKLEY_J_Dem	WARNER_M_Dem	BENNET_M_Dem	BROWN_S_Rep	MANCHIN_J_Dem	COONS_C_Dem	BLUMENTHAL_R_Dem	RUBIO_M_Rep	PAUL_R_Rep	AYOTTE_K_Rep	HOEVEN_J_Rep	LEE_M_Rep	JOHNSON_R_Rep	FEINSTEIN_D_Dem	HUTCHISON_K_Rep	MURRAY_P_Dem	SESSIONS_J_Rep	LANDRIEU_M_Dem	COLLINS_S_Rep	ENZI_M_Rep	SHELBY_R_Rep	OBAMA_B_Dem
57	3.351493	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
58	.029176	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
59	1.173131	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
60	.251488	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
61	19.531162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
62	.261859	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
63	.00296	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
64	16.992653	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
65	.045278	1	0	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
66	.917105	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
67	.017513	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
68	.033468	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
69	.505325	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
70	.022165	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
71	.01775	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
72	.003898	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
73	.006422	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
74	.006367	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1
75	1.551421	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
76	14.831038	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
77	2.075829	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
78	14.450065	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
79	1.302469	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
80	2.334314	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
81	14.049178	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
82	.221997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
83	21.415468	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
84	1.751172	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
85	15.485818	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
86	5.312677	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
87	.072845	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
88	13.920405	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
89	.895252	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
90	.004225	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
91	.025988	1	0	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
92	.039479	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
93	.257774	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
94	15.594713	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
95	.958747	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
96	.006563	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
97	.008453	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
98	.033095	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
99	.048738	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
100	.425738	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
101	1.481247	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
102	1.055059	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1
103	2.2021	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1
104	14.276094	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
105	3.619808	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
106	9.65692	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
107	2.082209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
108	.016484	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
109	1.251826	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
110	13.172733	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
111	.205387	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
112	.153208	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
113	.537729	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
114	30.324764	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
115	21.663694	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
116	4.994983	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
117	1.341521	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
118	14.589755	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
