Splits	Weights	LEAHY_P_Dem	MARKEY_E_Dem	SCHUMER_C_Dem	WYDEN_R_Dem	CARPER_T_Dem	DURBIN_R_Dem	CARDIN_B_Dem	VAN_HOLLEN_C_Dem	MURPHY_C_Dem	HIRONO_M_Dem	GILLIBRAND_K_Dem	PETERS_G_Dem	HEINRICH_M_Dem	SINEMA_K_Dem	DUCKWORTH_T_Dem	ROSEN_J_Dem	REED_J_Dem	SANDERS_B_Ind	MENENDEZ_R_Dem	BROWN_S_Dem	STABENOW_D_Dem	UDALL_T_Dem	BALDWIN_T_Dem	CANTWELL_M_Dem	KLOBUCHAR_A_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	SHAHEEN_J_Dem	MERKLEY_J_Dem	WARNER_M_Dem	BENNET_M_Dem	MANCHIN_J_Dem	COONS_C_Dem	BLUMENTHAL_R_Dem	SCHATZ_B_Dem	KING_A_Ind	WARREN_E_Dem	KAINE_T_Dem	BOOKER_C_Dem	CORTEZ_MASTO_C_Dem	HARRIS_K_Dem	HASSAN_M_Dem	JONES_G_Dem	SMITH_T_Dem	FEINSTEIN_D_Dem	MURRAY_P_Dem
36	35.317238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
37	4.279175	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	1
38	2.928247	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0
39	.695822	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0
40	1.406581	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0
41	24.975664	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
42	16.095854	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
43	3.566321	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
44	4.104391	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1
45	18.59947	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
46	4.859496	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
47	2.402372	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
48	3.966676	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
49	2.088059	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
50	37.26144	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
51	5.663819	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
